Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Clodsire,97.9,980,poison,ground,94.2,119.4,209,2352152,29,1490,Poison Sting,Sludge Bomb,Earthquake,6,8,3,50000
Clodsire,95.6,980,poison,ground,94.2,119.4,209,2352152,29,1490,Poison Sting,Earthquake,Stone Edge,8,7,3,50000
Mandibuzz,94.6,630,dark,flying,92.3,149.2,176,2424943,27,1497,Snarl,Dark Pulse,Aerial Ace,4,4,5,75000
Feraligatr,94,160,water,none,123.3,118,124,1803586,19.5,1493,Shadow Claw,Hydro Cannon,Ice Beam,5,7,3,10000
Gastrodon,93.9,423,water,ground,114.4,102.5,167,1957876,24.5,1497,Mud Slap,Body Slam,Earth Power,4,6,3,50000
Feraligatr,93.6,160,water,none,123.3,118,124,1803586,19.5,1493,Shadow Claw,Hydro Cannon,Ice Beam,5,7,3,10000
Diggersby,93.4,660,normal,ground,96.3,141.2,171,2324733,48,1496,Quick Attack,Fire Punch,Scorching Sands,5,7,1,10000
Carbink,92.6,703,rock,fairy,84.9,247.9,126,2650835,50,1500,Rock Throw,Power Gem,Moonblast,10,12,5,75000
Quagsire,92.5,195,water,ground,111.3,112,161,2005558,28.5,1494,Mud Shot,Aqua Tail,Stone Edge,5,7,3,50000
Azumarill,92.3,184,water,fairy,93.7,134.1,190,2387435,43.5,1498,Bubble,Ice Beam,Play Rough,5,6,3,50000
Malamar,92.3,687,dark,psychic,118.5,117.1,136,1887141,24,1499,Psywave,Superpower,Foul Play,10,12,3,50000
Pangoro,92.3,675,fighting,dark,134.5,92,134,1658196,19,1496,Karate Chop,Close Combat,Night Slash,5,4,3,50000
Marowak,92.2,105,ground,none,110.8,145,126,2025310,32,1500,Mud Slap,Bone Club,Rock Slide,4,5,3,50000
Toxapex,92.2,748,poison,water,92.3,222,118,2416922,38.5,1493,Poison Jab,Brine,Sludge Wave,8,10,3,50000
Jumpluff,92.1,189,grass,flying,97,153.5,155,2308399,41,1500,Fairy Wind,Aerial Ace,Energy Ball,5,7,3,50000
Dunsparce,91.9,206,normal,none,104.8,111,183,2127733,37.5,1496,Rollout,Drill Run,Rock Slide,4,4,3,50000
Bastiodon,91.8,411,rock,steel,81.1,246.7,138,2761698,47.5,1498,Smack Down,Stone Edge,Flamethrower,7,7,5,75000
Clefable,91.7,36,fairy,none,117.2,111.5,146,1908090,23,1499,Fairy Wind,Moonblast,Swift,7,4,1,10000
Machamp,91.4,68,fighting,none,136.4,97.2,124,1644073,17.5,1497,Karate Chop,Cross Chop,Stone Edge,4,7,3,50000
Drapion,91.1,452,poison,dark,118.5,136.5,117,1892269,23,1499,Poison Sting,Crunch,Aqua Tail,5,4,5,75000
Gallade,91.1,475,psychic,fighting,137.2,114.5,104,1633015,18,1498,Psycho Cut,Close Combat,Leaf Blade,5,4,5,75000
Aurorus,90.9,699,rock,ice,114.1,105.7,163,1966639,20,1498,Powder Snow,Weather Ball-Ice,Meteor Beam,5,8,5,75000
Jumpluff,90.6,189,grass,flying,97,153.5,155,2308399,41,1500,Fairy Wind,Aerial Ace,Energy Ball,5,7,3,50000
Lickilicky,90.5,463,normal,none,106.3,121.1,164,2111832,23,1498,Rollout,Body Slam,Shadow Ball,3,5,3,50000
Machoke,90.4,67,fighting,none,127.7,97.2,141,1750103,27,1498,Karate Chop,Cross Chop,Dynamic Punch,4,6,3,50000
Guzzlord,90.1,799,dark,dragon,113.3,65.5,266,1972626,19.5,1494,Dragon Tail,Brutal Swing,Sludge Bomb,4,6,20,100000
Quagsire,90.1,195,water,ground,111.3,112,161,2005558,28.5,1494,Mud Shot,Aqua Tail,Stone Edge,5,7,3,50000
Sandslash-Alolan,90,28,ice,steel,116.6,132.6,124,1917384,23,1500,Powder Snow,Ice Punch,Drill Run,5,6,3,50000
Registeel,89.9,379,steel,none,95.5,189.6,130,2353244,23,1499,Lock On,Focus Blast,Zap Cannon,15,16,20,100000
Golurk,89.8,623,ground,ghost,133.9,96.7,129,1671084,19.5,1500,Mud Slap,Shadow Punch,Dynamic Punch,4,5,5,75000
Marowak,89.8,105,ground,none,110.8,145,126,2025310,32,1500,Mud Slap,Bone Club,Rock Slide,4,5,3,50000
Machamp,89.6,68,fighting,none,136.4,97.2,124,1644073,17.5,1497,Karate Chop,Cross Chop,Stone Edge,4,7,3,50000
Steelix,89.4,208,steel,ground,98.4,185.2,124,2260578,23.5,1493,Dragon Tail,Psychic Fangs,Crunch,4,5,5,75000
Qwilfish,89.3,211,water,poison,130.5,105.5,123,1693578,27,1490,Poison Sting,Aqua Tail,Ice Beam,4,7,3,50000
Samurott,89.2,503,water,none,129,102.2,132,1740020,20,1498,Fury Cutter,Hydro Cannon,Megahorn,10,14,3,10000
Walrein,89.1,365,ice,water,113.1,114.3,153,1978119,20.5,1495,Powder Snow,Icicle Spear,Earthquake,5,9,3,50000
Drapion,88.9,452,poison,dark,118.5,136.5,117,1892269,23,1499,Poison Sting,Crunch,Aqua Tail,5,4,5,75000
Greninja,88.9,658,water,dark,139.6,101.6,113,1602682,21,1497,Water Shuriken,Hydro Cannon,Night Slash,3,3,3,10000
Arctibax,88.8,997,dragon,ice,123.1,97.7,151,1815086,26.5,1499,Dragon Breath,Avalanche,Dragon Claw,15,12,5,75000
Goodra,88.7,706,dragon,none,119.7,136.8,114,1866601,16,1497,Dragon Breath,Aqua Tail,Thunder Punch,12,14,5,75000
Hakamo-o,88.7,783,dragon,fighting,115.5,134.8,124,1931380,36.5,1493,Dragon Tail,Dragon Claw,Brick Break,4,5,5,75000
Primeape,88.7,57,fighting,none,140.2,99.2,115,1598880,24.5,1497,Karate Chop,Ice Punch,Cross Chop,5,4,3,50000
Marowak-Alolan,88.6,105,fire,ghost,110.8,145,126,2025310,32,1500,Fire Spin,Shadow Bone,Bone Club,5,4,3,50000
Serperior,88.6,497,grass,none,110.2,143.6,128,2025814,25,1499,Vine Whip,Frenzy Plant,Aerial Ace,6,5,3,10000
Sandslash-Alolan,88.5,28,ice,steel,116.6,132.6,124,1917384,23,1500,Powder Snow,Ice Punch,Drill Run,5,6,3,50000
Whiscash,88.5,340,water,ground,107.6,107.6,178,2060545,27,1490,Mud Shot,Mud Bomb,Scald,5,7,1,10000
Bastiodon,88.4,411,rock,steel,81.1,246.7,138,2761698,47.5,1498,Smack Down,Stone Edge,Flamethrower,7,7,5,75000
Hippowdon,88.3,450,ground,none,116.2,116.8,141,1912627,18,1494,Sand Attack,Weather Ball-Rock,Scorching Sands,9,13,3,50000
Weezing-Galarian,88.3,110,poison,fairy,118.4,138.9,115,1889997,24.5,1495,Fairy Wind,Brutal Swing,Play Rough,4,7,3,50000
Regirock,88.2,377,rock,none,103.7,180.2,115,2149641,18,1497,Lock On,Stone Edge,Focus Blast,11,15,20,100000
Steelix,88.1,208,steel,ground,98.4,185.2,124,2260578,23.5,1493,Dragon Tail,Psychic Fangs,Crunch,4,5,5,75000
Donphan,88,232,ground,none,125.8,112,126,1776372,18.5,1500,Mud Slap,Trailblaze,Body Slam,5,4,3,50000
Ursaring,88,217,normal,none,140.3,89.1,128,1600223,19,1499,Shadow Claw,Swift,Close Combat,5,6,3,50000
